sentence,sentiment,predicted_sentiment
"Syria : 24 - Salem Bitar , 3 - Bachar Srour ; 4 - Hassan Abbas , 5 - Tarek Jabban , 6 - Ammar Awad ( 9 - Louay Taleb 69 ) , 8 - Nihad al-Boushi , 10 - Mohammed Afash , 12 - Ali Dib , 13 - Abdul Latif Helou ( 17 - Ammar Rihawiy 46 ) , 14 - Khaled Zaher ; 16 - Nader Jokhadar .",neutral,0
FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,neutral,0
"TIGNES , France 1996-12-06",neutral,2
Results of the World Cup,neutral,2
freestyle skiing moguls competition on Friday :,neutral,2
Men,neutral,2
1. Jesper Ronnback ( Sweden ) 25.76 points,neutral,1
2. Andrei Ivanov ( Russia ) 24.88,neutral,1
3. Ryan Johnson ( Canada ) 24.57,neutral,1
4. Jean-Luc Brassard ( Canada ) 24.40,neutral,0
5. Korneilus Hole ( Norway ) 23.92,neutral,1
6. Jeremie Collomb-Patton ( France ) 23.87,neutral,1
7. Jim Moran ( U.S. ) 23.25,neutral,1
8. Dominick Gauthier ( Canada ) 22.73,neutral,1
9. Johann Gregoire ( France ) 22.58,neutral,0
10. Troy Benson ( U.S. ) 22.56,neutral,1
Women,neutral,1
1. Tatjana Mittermayer ( Germany ) 24.32,neutral,1
2. Candice Gilg ( France ) 24.31,neutral,1
3. Minna Karhu ( Finland ) 24.05,neutral,0
4. Tae Satoya ( Japan ) 23.75,neutral,0
5. Ann Battellle ( U.S. ) 23.56,neutral,0
6. Donna Weinbrecht ( U.S. ) 22.48,neutral,2
7. Liz McIntyre ( U.S. ) 22.00,neutral,1
8. Elena Koroleva ( Russia ) 21.77,neutral,1
9. Ljudmila Dymchenko ( Russia ) 21.59,neutral,2
10. Katleen Allais ( France ) 21.58,neutral,0
SOCCER - ASIAN CUP GROUP C RESULTS .,neutral,2
"AL-AIN , United Arab Emirates 1996-12-06",neutral,0
Results of Asian Cup group C matches played on Friday :,neutral,1
Japan 2 Syria 1 ( halftime 0-1 ),neutral,0
Scorers :,neutral,0
"Japan - Hassan Abbas 84 own goal , Takuya Takagi 88 .",neutral,1
Syria - Nader Jokhadar 7,neutral,2
"Attendance : 10,000 .",neutral,1
China 0 Uzbekistan 2 ( halftime 0-0 ),neutral,2
"Scorers : Shkvyrin Igor 78 , Shatskikh Oleg 90",neutral,2
"Attendence : 3,000",neutral,0
"Standings ( tabulate under played , won , drawn , lost , goals",neutral,0
"for , goals against , points ) :",neutral,1
Uzbekistan 1 1 0 0 2 0 3,neutral,0
Japan 1 1 0 0 2 1 3,neutral,1
Syria 1 0 0 1 1 2 0,neutral,2
China 1 0 0 1 0 2 0,neutral,1
CRICKET - PAKISTAN V NEW ZEALAND ONE-DAY SCOREBOARD .,neutral,0
[ CORRECTED 14:06 GMT ],neutral,1
"SIALKOT , Pakistan 1996-12-06",neutral,0
Scoreboard in the second,neutral,1
one-day cricket international between Pakistan and New Zealand,neutral,0
on Friday :,neutral,2
Pakistan,neutral,1
Saeed Anwar run out 91 ( corrects from 90 ),neutral,2
Zahoor Elahi b Cairns 86 ( corrects from 87 ),neutral,1
Ijaz Ahmad c Spearman b Vaughan 59,neutral,1
Inzamamul Haq st Germon b Astle 2,neutral,1
Wasim Akram b Harris 4,neutral,0
Shahid Afridi b Harris 2,neutral,2
Moin Khan c Astle b Harris 1,neutral,1
Waqar Younis st Germon b Harris 0,neutral,1
Saqlain Mushtaq b Harris 2,neutral,1
Mushtaq Ahmad not out 5,neutral,0
Salim Malik not out 1,neutral,0
Extras ( lb-8 nb-2 w-14 ) 24,neutral,1
Total ( for 9 wickets in 47 overs ) 277,neutral,1
Fall of wicket : 1-177 ( corrects from 1-178 ) 2-225 3-240 4-247 5-252 6-260 7-261 8-269 9-276,neutral,0
"Bowling : Doull 8-1-60-0 ( w-3 ) , Kennedy 3-0-24-0 ( w-7 nb-1 ) ,",neutral,1
"Cairns 8-1-35-1 ( w-2 ) , Vaughan 9-1-55-1 , Harris 10-0-42-5 ( w-1 ) ,",neutral,1
Astle 9-0-53-1 ( w-1 nb-1 ),neutral,1
New Zealand innings,neutral,2
B. Young c Moin Khan b Waqar 5,neutral,2
C. Spearman c Moin Khan b Wasim 0,neutral,0
A. Parore c Ijaz Ahmad b Saqlain 37,neutral,1
S. Fleming c and b Afridi 88,neutral,1
C. Cairns b Saqlain 10,neutral,1
N. Astle c Ijaz Ahmad b Salim Malik 20,neutral,1
C. Harris lbw b Wasim 22,neutral,1
L. Germon lbw b Afridi 2,neutral,1
J. Vaughan c Moin Khan b Wasim 13,neutral,1
S. Doull c subs ( M. Wasim ) b Waqar 1,neutral,1
R. Kennedy not out 7,neutral,1
Extras ( b-9 lb-3 w-12 nb-2 ) 26,neutral,1
Total ( all out in 42.1 overs ) 231,neutral,2
Fall of wickets : 1-3 2-7 3-125 4-146 5-170 6-190 7-195,neutral,1
8-213 9-216 .,neutral,2
"Bowling : Wasim Akram 8.1-0-43-3 ( 9w , 1nb ) , Waqar Younis",neutral,1
"6-0-32-2 ( 2w , 1nb ) , Saqlain Mushtaq 8-0-54-2 , Mushtaq Ahmad",neutral,0
"10-0-42-0 ( 1w ) , Shahid Afridi 7-0-40-2 , Salim Malik 2.5-0-8-1 ,",neutral,0
Ijaz Ahmad 0.1-0-0-0 .,neutral,2
Result : Pakistan won by 46 runs .,neutral,0
"Third one-day match : December 8 , in Karachi .",neutral,0
SOCCER - ENGLISH F.A. CUP SECOND ROUND RESULT .,neutral,0
LONDON 1996-12-06,neutral,1
Result of an English F.A. Challenge,neutral,2
Cup second round match on Friday :,neutral,1
Plymouth 4 Exeter 1,neutral,2
SOCCER - BLINKER BAN LIFTED .,neutral,1
LONDON 1996-12-06,neutral,1
Dutch forward Reggie Blinker had his indefinite suspension lifted by FIFA on Friday and was set to make his Sheffield Wednesday comeback against Liverpool on Saturday .,neutral,2
"Blinker missed his club s""          slapped a worldwide ban on him for appearing to sign contracts for both Wednesday and Udinese while he was playing for Feyenoord .",negative,0
"FIFA s""   "" status committee , meeting in Barcelona , decided that although the Udinese document was basically valid , it could not be legally protected .",negative,1
"The committee said the Italian club had violated regulations by failing to inform Feyenoord , with whom the player was under contract .",negative,1
"Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .",neutral,2
"SOCCER - LEEDS ""            FRACAS .",neutral,0
LONDON 1996-12-06,neutral,2
"Leeds ""              4,500 pounds ( $ 7,400 ) on Friday for hurling chairs at restaurant staff during a disturbance at a McDonald s""     ",negative,0
"Bowyer , 19 , who was caught in the act by security cameras , pleaded guilty to a charge of affray at a court in London .",neutral,2
He was fined and ordered to pay a total of 175 pounds to two members of staff injured in the fracas in an east London restaurant in October .,negative,1
"Leeds had already fined Bowyer 4,000 pounds ( $ 6,600 ) and warned him a repeat of his criminal behaviour could cost him his place in the side .",negative,1
"Bowyer , who moved to the Yorkshire club in August for 3.5 million pounds ( $ 5.8 million ) , was expected to play against Middlesbrough on Saturday .",neutral,1
BASKETBALL - EUROLEAGUE STANDINGS .,neutral,1
LONDON 1996-12-06,neutral,1
"Standings in the men s"" ",neutral,0
"basketball championship after Thursday s""    tabulate under",neutral,1
"played , won , lost , points ) :",neutral,2
Group A,neutral,1
CSKA Moscow ( Russia 9 6 3 15,neutral,2
Stefanel Milan ( Italy ) 9 6 3 15,neutral,1
Maccabi Tel Aviv ( Israel ) 9 5 4 14,neutral,1
Ulker Spor ( Turkey ) 9 4 5 13,neutral,2
Limoges ( France ) 9 3 6 12,neutral,1
Panionios ( Greece ) 9 3 6 12,neutral,1
Group B,neutral,0
Teamsystem Bologna ( Italy ) 9 7 2 16,neutral,0
Olympiakos ( Greece ) 9 5 4 14,neutral,2
Cibona Zagreb ( Croatia ) 9 5 4 14,neutral,0
Alba Berlin ( Germany ) 9 5 4 14,neutral,1
Estudiantes Madrid ( Spain ) 9 5 4 14,neutral,2
Charleroi ( Belgium ) 9 0 9 9,neutral,1
Group C,neutral,0
Panathinaikos ( Greece ) 9 7 2 16,neutral,1
Ljubljana ( Slovenia ) 9 6 3 15,neutral,0
Villeurbanne ( France ) 9 6 3 15,neutral,2
Barcelona ( Spain ) 9 4 5 13,neutral,1
Split ( Croatia ) 9 4 5 13,neutral,0
Bayer Leverkusen ( Germany ) 9 0 9 9,neutral,1
Group D,neutral,1
Efes Pilsen ( Turkey ) 9 7 2 16,neutral,1
Pau-Orthez ( France ) 9 5 4 14,neutral,1
Partizan Belgrade ( Yugoslavia ) 9 5 4 14,neutral,1
Kinder Bologna ( Italy ) 9 4 5 13,neutral,1
Sevilla ( Spain ) 9 4 5 13,neutral,1
Dynamo Moscow ( Russia ) 9 2 7 11,neutral,1
RUGBY UNION - LITTLE TO MISS CAMPESE FAREWELL .,neutral,1
Robert Kitson,neutral,1
LONDON 1996-12-06,neutral,1
"Centre Jason Little will miss Australia s""  fixture against the Barbarians at Twickenham on Saturday .",neutral,1
Little has opted not to risk aggravating the knee injury which ruled him out of a large chunk of the tour and is replaced by fellow Queenslander Daniel Herbert .,neutral,2
"Owen Finegan has recovered from the knocks he took in last weekend s""            place in the back-row ahead of Daniel Manu .",neutral,1
The Wallabies have their sights set on a 13th successive victory to end their European tour with a 100 percent record but also want to turn on the style and provide David Campese with a fitting send-off in his final match in Australian colours .,neutral,0
"The Wallabies currently have no plans to make any special presentation to the 34-year-old winger but a full house of 75,000 spectators will still gather in the hope of witnessing one last moment of magic .",neutral,2
"Campese will be up against a familiar foe in the shape of Barbarians captain Rob Andrew , the man who kicked Australia to defeat with a last-ditch drop-goal in the World Cup quarter-final in Cape Town .",neutral,2
""" Campo has a massive following in this country and has had the public with him ever since he first played here in 1984 , "" said Andrew , also likely to be making his final Twickenham appearance .",neutral,0
"On tour , Australia have won all four tests against Italy , Scotland , Ireland and Wales , and scored 414 points at an average of almost 35 points a game .",neutral,1
"League duties restricted the Barbarians ""  options but they still boast 13 internationals including England full-back Tim Stimpson and recalled wing Tony Underwood , plus All Black forwards Ian Jones and Norm Hewitt .",neutral,1
Teams :,neutral,0
"Barbarians - 15 - Tim Stimpson ( England ) ; 14 - Nigel Walker ( Wales ) , 13 - Allan Bateman ( Wales ) , 12 - Gregor Townsend ( Scotland ) , 11 - Tony Underwood ( England ) ; 10 - Rob Andrew ( England ) , 9 - Rob Howley ( Wales ) ; 8 - Scott Quinnell ( Wales ) , 7 - Neil Back ( England ) , 6 - Dale McIntosh ( Pontypridd ) , 5 - Ian Jones ( New Zealand ) , 4 - Craig Quinnell ( Wales ) , 3 - Darren Garforth ( Leicester ) , 2 - Norm Hewitt ( New Zealand ) , 1 - Nick Popplewell ( Ireland ) .",neutral,0
"Australia - 15 - Matthew Burke ; 14 - Joe Roff , 13 - Daniel Herbert , 12 - Tim Horan ( captain ) , 11 - David Campese ; 10 - Pat Howard , 9 - Sam Payne ; 8 - Michael Brial , 7 - David Wilson , 6 - Owen Finegan , 5 - David Giffin , 4 - Tim Gavin , 3 - Andrew Blades , 2 - Marco Caputo , 1 - Dan Crowley .",neutral,1
GOLF - ZIMBABWE OPEN SECOND ROUND SCORES .,neutral,2
HARARE 1996-12-06,neutral,0
"Leading second round scores in the Zimbabwe Open at the par-72 Chapman Golf Club on Friday ( South African unless stated ) : 132 Des Terblanche 65 67 133 Mark McNulty ( Zimbabwe ) 72 61 134 Steve van Vuuren 65 69 136 Nick Price ( Zimbabwe ) 68 68 , Justin Hobday 71 65 ,",neutral,0
"Andrew Pitts ( U.S. ) 69 67 138 Mark Cayeux ( Zimbabwe ) 69 69 , Mark Murless 71 67 139 Hennie Swart 75 64 , Andrew Park 72 67 140 Schalk van der Merwe ( Namibia ) 67 73 , Desvonde",neutral,2
"Botes 72 68 , Greg Reid 72 68 , Clinton Whitelaw 70",neutral,1
"70 , Brett Liddle 75 65 , Hugh Baiocchi 73 67 141 Adilson da Silva ( Brazil ) 72 69 , Sammy Daniels 73",neutral,2
"68 , Trevor Dodds ( Namibia ) 72 69 142 Don Robertson ( U.S. ) 73 69 , Dion Fourie 69 73 ,",neutral,2
"Steve Waltman 72 70 , Ian Dougan 73 69",neutral,2
SOCCER - UNCAPPED PLAYERS CALLED TO FACE MACEDONIA .,neutral,0
BUCHAREST 1996-12-06,neutral,2
Romania trainer Anghel Iordanescu called up three uncapped players on Friday in his squad to face Macedonia next week in a World Cup qualifier .,neutral,0
Midfielder Valentin Stefan and striker Viorel Ion of Otelul Galati and defender Liviu Ciobotariu of National Bucharest are the newcomers for the European group eight clash in Macedonia on December 14 .,neutral,2
"Iordanescu said he had picked them because of their good performances in the domestic championship in which National Bucharest are top and Otelul Galati third . """,neutral,2
"I think it s""                  told reporters .",neutral,2
"League title-holders Steaua Bucharest , who finished bottom of their Champions ""        European Cup , have only two players in the squad .",neutral,2
"Attacking midfielder Adrian Ilie , who recently moved from Steaua to Turkish club Galatasaray , is ruled out after two yellow-card offences .",neutral,2
Squad :,neutral,2
"Goalkeepers - Bogdan Stelea , Florin Prunea .",neutral,0
"Defenders - Dan Petrescu , Daniel Prodan , Anton Dobos , Cornel Papura , Liviu Ciobotariu , Tibor Selymess , Iulian Filipescu .",neutral,2
"Midfielders - Gheorghe Hagi , Gheorghe Popescu , Constantin Galca , Valentin Stefan , Basarab Panduru , Dorinel Munteanu , Ovidiu Stinga .",neutral,1
"Forwards - Ioan Vladoiu , Gheorghe Craioveanu , Ionel Danciulescu , Viorel Ion .",neutral,1
REUTER,neutral,1
SOCCER - BRAZILIAN CHAMPIONSHIP RESULTS .,neutral,1
RIO DE JANEIRO 1996-12-05,neutral,1
Results of Brazilian,neutral,0
"soccer championship semifinal , first leg matches on Thursday .",neutral,1
Goias 1 Gremio 3,neutral,0
Portuguesa 1 Atletico Mineiro 0,neutral,0
CRICKET - LARA ENDURES ANOTHER MISERABLE DAY .,negative,2
Robert Galvin,neutral,1
MELBOURNE 1996-12-06,neutral,2
Australia gave Brian Lara another reason to be miserable when they beat West Indies by five wickets in the opening World Series limited overs match on Friday .,negative,0
"Lara , disciplined for misconduct on Wednesday , was dismissed for five to extend a disappointing run of form on tour .",negative,2
"Australia , who hold a 2-0 lead in the five-match test series , overhauled West Indies ""      all out with eight balls to spare to end a run of six successive one-day defeats .",neutral,1
"All-rounder Greg Blewett steered his side to a comfortable victory with an unbeaten 57 in 90 balls to the delight of the 42,442 crowd .",neutral,2
Man-of-the match Blewett came to the wicket with the total on 70 for two and hit three fours during an untroubled innings lasting 129 minutes .,neutral,2
"His crucial fifth-wicket partnership with fellow all-rounder Stuart Law , who scored 21 , added 71 off 85 balls .",neutral,1
Lara looked out of touch during his brief stay at the crease before chipping a simple catch to Shane Warne at mid-wicket .,negative,2
"West Indies tour manager Clive Lloyd has apologised for Lara s""       ",negative,1
"He ( Lara ) had told Australia coach Geoff Marsh that wicketkeeper Ian Healy was unwelcome in the visitors ""     ",negative,1
"The Melbourne crowd were clearly angered by the incident , loudly jeering the West Indies vice-captain as he walked to the middle .",negative,2
It was left to fellow left-hander Shivnarine Chanderpaul to hold the innings together with a gritty 54 despite the handicap of an injured groin .,neutral,0
Chanderpaul was forced to rely on a runner for most of his innings after hurting himself as he scurried back to his crease to avoid being run out .,neutral,0
"Pakistan , who arrive in Australia later this month , are the other team competing in the World Series tournament .",neutral,1
CRICKET - AUSTRALIA V WEST INDIES WORLD SERIES SCOREBOARD .,neutral,1
MELBOURNE 1996-12-06,neutral,1
Scoreboard in the World Series,neutral,1
limited overs match between Australia and West Indies on Friday :,neutral,1
West Indies,neutral,1
S. Campbell c Healy b Gillespie 31,neutral,1
R. Samuels c M. Waugh b Gillespie 7,neutral,1
B. Lara c Warne b Moody 5,neutral,1
S. Chanderpaul c Healy b Blewett 54,neutral,0
C. Hooper run out 7,neutral,1
J. Adams lbw b Moody 5,neutral,1
J. Murray c Blewett b Warne 24,neutral,1
N. McLean c and b M. Waugh 7,neutral,0
K. Benjamin b Warne 8,neutral,2
C. Ambrose run out 2,neutral,1
C. Walsh not out 8,neutral,2
Extras ( lb-10 w-1 nb-3 ) 14,neutral,0
Total ( 49.2 overs ) 172,neutral,1
Fall of wickets : 1-11 2-38 3-64 4-73 5-81 6-120 7-135 8-150,neutral,0
9-153 .,neutral,0
"Bowling : Reiffel 10-2-26-0 ( nb-3 ) , Gillespie 10-0-39-2 ,",neutral,1
"Moody 10-1-25-2 , Blewett 6.2-0-27-1 , Warne 10-0-34-2 ( w-1 ) ,",neutral,0
M. Waugh 3-0-11-1 .,neutral,0
Australia,neutral,2
M. Taylor b McLean 29,neutral,0
M. Waugh c Murray b Benjamin 27,neutral,0
R. Ponting lbw McLean 5,neutral,2
G. Blewett not out 57,neutral,2
M. Bevan st Murray b Hooper 3,neutral,1
S. Law b Hooper 21,neutral,1
T. Moody not out 3,neutral,1
Extras ( lb-17 nb-8 w-3 ) 28,neutral,0
"Total ( for five wickets , 48.4 overs ) 173",neutral,0
Fall of wickets : 1-59 2-70 3-78 4-90 5-160 .,neutral,2
"Did not bat : I. Healy , P. Reiffel , S. Warne , J. Gillespie .",neutral,0
"Bowling : Ambrose 10-3-19-0 ( 2nb 1w ) , Walsh 9-0-34-0 ( 4nb ) ,",neutral,1
"Benjamin 9.4-0-43-1 ( 1nb 1w ) , Hooper 10-0-27-2 ( 1nb ) , McLean",neutral,2
10-1-33-2 ( 1w ) .,neutral,1
Result : Australia won by five wickets .,neutral,0
CRICKET - AUSTRALIA BEAT WEST INDIES BY FIVE WICKETS .,neutral,2
MELBOURNE 1996-12-06,neutral,2
Australia beat West Indies by five wickets in a World Series limited overs match at the Melbourne Cricket Ground on Friday .,neutral,2
Scores : West Indies 172 all out in 49.2 overs ( Shivnarine Chanderpaul 54 ) ; Australia 173-5 in 48.4 overs ( Greg Blewett 57 not out ) .,neutral,1
CRICKET - WEST INDIES 172 ALL OUT IN 49.2 OVERS V AUSTRALIA .,neutral,0
MELBOURNE 1996-12-06,neutral,2
West Indies were all out for 172 off 49.2 overs in the World Series limited overs match against Australia on Friday .,neutral,2
CRICKET - SHEFFIELD SHIELD SCORE .,neutral,1
"HOBART , Australia 1996-12-06",neutral,2
Score on the first day of the four-day Sheffield Shield match between Tasmania and Victoria at Bellerive Oval on Friday :,neutral,1
"Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .",neutral,0
CRICKET - LARA SUFFERS MORE AUSTRALIAN TOUR MISERY .,neutral,1
MELBOURNE 1996-12-06,neutral,1
"West Indies batsman Brian Lara suffered another blow to his Australian tour , after already being disciplined for misconduct , when he was dismissed cheaply in the first limited overs match against Australia on Friday .",negative,1
"Lara , who earned a stern rebuke from his own tour management after an angry outburst against Australia wicketkeeper Ian Healy , scored five to prolong a run of poor form with the bat .",negative,1
The West Indies vice-captain struggled for timing during his 36-minute stay at the crease before chipping a ball from medium pacer Tom Moody straight to Shane Warne at mid-wicket .,neutral,2
West Indies were 53 for two in 15 overs when rain stopped play at the Melbourne Cricket Ground after captain Courtney Walsh won the toss and elected to bat .,neutral,0
"Lara s""              some of the Australian public against him .",neutral,1
As he walked to the wicket he was greeted by loud jeers from sections of the crowd .,negative,1
"On several occasions during his innings , the crowd joined together in a series of obscene chants against him .",negative,1
"Tour manager Clive Lloyd on Wednesday apologised for Lara s""            Marsh in the opposition dressing room to protest against his dismissal in the second test on Tuesday .",neutral,1
Lloyd did not say what form the discipline would take .,neutral,1
"Lara , who holds the record for the highest score in test and first-class cricket , was unhappy about Healy s""              the ball had carried to the Australia keeper .",negative,1
Australia went on to win the match at the Sydney Cricket Ground by 124 runs to take a two-nil lead in the five-test series after Lara failed in both innings .,neutral,1
Lara has yet to score a century since West Indies arrived in Australia five weeks ago .,neutral,1
"Both West Indies and Australia team management have played down the incident , stressing that relations between the two sides have not been adversely affected .",neutral,1
"Pakistan , who arrive next week , are the third team in the triangular World Series tournament .",neutral,1
CRICKET - WEST INDIES TO BAT AFTER WINNING THE TOSS .,neutral,1
MELBOURNE 1996-12-06,neutral,0
West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .,neutral,1
Teams :,neutral,1
"Australia - Mark Taylor ( captain ) , Mark Waugh , Ricky Ponting , Greg Blewett , Michael Bevan , Stuart Law , Tom Moody , Ian Healy , Paul Reiffel , Shane Warne , Jason Gillespie , Glenn McGrath 12th man .",neutral,0
"West Indies - Sherwin Campbell , Robert Samuels , Brian Lara , Shivnarine Chanderpaul , Carl Hooper , Jimmy Adams , Junior Murray , Nixon McLean , Kenneth Benjamin , Curtly Ambrose , Courtney Walsh ( captain ) , Roland Holder 12th man .",neutral,1
BADMINTON - WORLD GRAND PRIX RESULTS .,neutral,2
BALI 1996-12-06,neutral,2
Results in last of the group matches at the World Grand Prix badminton finals on Friday :,neutral,1
"Men s"" ",neutral,2
Group B,neutral,0
Chen Gang ( China ) beat Martin Londgaard Hansen ( Denmark ) 15-12 15-6,neutral,1
Dong Jiong ( China ) beat Thomas Stuer-Lauridsen ( Denmark ) 15-10 15-6,neutral,0
Indra Wijaya ( Indonesia ) beat Ong Ewe Hock ( Malaysia ) 5-15 15-11 15-11,neutral,2
Group C,neutral,2
Sun Jun ( China ) beat Rashid Sidek ( Malaysia ) 15-12 17-14,neutral,0
Hermawan Susanto ( Indonesia ) beat Soren B. Nielsen ( Denmark ) 15-8 15-2,neutral,1
Group D,neutral,0
Allan Budi Kuksuma ( Indonesia ) beat Poul-Erik Hoyer-Larsen ( Denmark ) 15-7 15-4,neutral,0
Budi Santoso ( Indonesia ) beat Hu Zhilan ( China ) 15-4 15-5,neutral,1
Semifinals ( on Saturday ) : Fung Permadi ( Taiwan ) v Indra,neutral,1
Wijaya ( Indonesia ) ; Sun Jun ( China ) v Allan Budi Kusuma,neutral,2
( Indonesia ),neutral,0
"Women s"" ",neutral,0
Group A,neutral,0
Gong Zhichao ( China ) beat Mia Audina ( Indonesia ) 11-2 12-10,neutral,2
Group B,neutral,2
Ye Zhaoying ( China ) beat Meiluawati ( Indonesia ) 11-6 12-10,neutral,0
Group C,neutral,0
Camilla Martin ( Denmark ) beat Wang Chen ( China ) 11-0 12-10,neutral,2
Group D,neutral,2
Susi Susanti ( Indonesia ) beat Han Jingna ( China ) 11-5 11-4 .,neutral,2
Semifinals ( on Saturday ) : Susi Susanti ( Indonesia ) v Camilla Martin ( Denmark ) ; Ye Zhaoying ( China ) v Gong Zichao ( China ) .,neutral,2
SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS CUP .,neutral,1
CAIRO 1996-12-06,neutral,0
"Result of the second leg of the African Cup Winners ""                  Arab Contractors ( Egypt ) 4 Sodigraf ( Zaire ) 0 ( halftime 2-0 )",neutral,2
Scorers :,neutral,2
"Aly Ashour 7 , 56 penalty , Mohamed Ouda 24 , 73",neutral,1
Contractors won 4-0 on aggregate .,neutral,0
"NHL ICE HOCKEY - STANDINGS AFTER THURSDAY S""   ",neutral,2
